make,price,body,mileage,engV,engType,registration,year,drive
50,15200.0,3,195,3.0,0,1,2007,2
4,2650.0,4,270,2.5,0,0,2001,0
74,14500.0,3,127,2.4,1,1,2008,0
23,5700.0,1,190,1.2,3,1,2008,0
5,13500.0,3,233,3.0,0,1,2003,2
50,31900.0,3,97,2.2,0,1,2011,2
50,11800.0,3,167,3.2,0,1,2003,2
4,6399.0,4,230,2.5,0,1,1999,0
67,8800.0,3,140,1.8,3,1,2007,0
4,3800.0,3,270,2.5,0,0,2000,0
50,39900.0,0,127,5.5,3,1,2010,1
58,49900.0,0,73,3.0,0,1,2011,1
58,50900.0,0,53,3.6,3,1,2013,1
78,10200.0,3,143,2.4,2,1,2006,0
52,11700.0,0,197,3.0,1,1,2006,1
23,1250.0,1,250,2.0,3,1,1986,2
77,20600.0,3,107,1.8,3,1,2012,0
50,9200.0,3,172,2.8,3,1,1997,2
50,26800.0,4,160,2.2,0,1,2014,2
42,26700.0,0,171,3.6,0,1,2008,1
77,25999.0,3,60,1.8,3,1,2014,0
77,7600.0,5,158,2.0,0,1,2009,0
33,9300.0,3,90,1.6,3,1,2011,0
50,140000.0,0,88,5.46,3,1,2013,1
67,5200.0,4,175,1.4,3,1,2004,0
23,19000.0,3,21,2.0,3,1,2012,0
5,21500.0,2,72,3.0,3,1,2007,2
74,24800.0,0,90,4.0,3,1,2008,1
50,46700.0,3,115,5.5,3,1,2011,1
70,9999.0,3,76,2.0,3,1,2008,1
23,19500.0,1,35,2.3,3,1,2013,0
5,86999.0,0,0,3.0,0,1,2016,1
74,37600.0,0,126,4.7,3,1,2008,1
39,18700.0,2,87,2.2,0,1,2010,1
5,2450.0,3,328,2.5,0,0,1996,2
67,12300.0,2,102,1.8,3,1,2010,0
77,19900.0,2,112,2.0,3,1,2012,0
58,16900.0,0,120,3.2,3,1,2005,1
77,20900.0,3,82,2.0,0,1,2012,0
33,10500.0,0,120,2.7,3,1,2006,1
5,17900.0,2,98,3.0,3,1,2007,2
74,19000.0,0,263,4.2,0,1,2001,1
4,55000.0,0,65,2.99,0,1,2013,1
50,124999.0,0,0,3.0,0,1,2016,1
7,222222.0,2,0,6.0,3,1,2015,1
59,7499.0,5,123,1.5,0,1,2009,0
77,6500.0,4,101,2.0,0,1,2011,0
30,10999.0,3,130,1.8,3,1,2007,0
70,13000.0,0,110,3.0,3,1,2006,1
33,28888.0,0,20,2.2,0,1,2013,1
50,21000.0,0,135,3.5,3,1,2007,1
50,39900.0,3,29,6.3,3,1,2007,2
50,11000.0,3,319,2.2,0,1,2003,2
50,12700.0,5,160,3.0,0,1,2007,2
59,6400.0,5,136,1.5,0,1,2012,0
12,4450.0,0,164,1.7,2,1,2006,1
67,3300.0,3,234,1.8,3,0,2002,0
59,2700.0,2,160,2.0,3,0,2001,0
74,16000.0,0,250,4.7,1,1,2001,1
56,12800.0,5,190,1.7,0,1,2011,0
